Line,ID,Name,Lat,Lon,Trip
10,1,วัดพุทธบูชา,13.6511747,100.4741398,go
10,2,สวนธน,13.6510509,100.486901,go
10,3,มจธ,13.6498999,100.4913075,go
10,4,หน้าม.,13.6507867,100.4965924,go
10,5,ลานไม้,13.6526091,100.4968624,go
10,6,วัดประเสริฐสุทธาวาส,13.6804143,100.5033532,go
10,7,บิ๊กซีราษฎร์บูรณะ,13.6826416,100.4999052,go
10,8,บิ๊กซีราษฎร์บูรณะ,13.6825492,100.5004167,back
10,9,วัดประเสริฐสุทธาวาส,13.6803699,100.5033381,back
10,10,ลานไม้,13.6526388,100.4969398,back
10,11,หน้าม.,13.6512612,100.4967541,back
10,12,มจธ,13.6495009,100.4918559,back
10,13,สวนธน,13.6510731,100.4873963,back
10,14,วัดพุทธบูชา,13.6511747,100.4741398,back
70,1,วัดพุทธบูชา,13.6511747,100.4741398,go
70,2,สวนธน,13.6510509,100.486901,go
70,3,มจธ,13.6498999,100.4913075,go
70,4,หน้าม.,13.6507867,100.4965924,go
70,5,ลานไม้,13.6526091,100.4968624,go
70,6,ตลาดบางปะกอก,13.6769382,100.5000253,go
70,7,บิ้กซีบางปะกอก(คาร์ฟูล),13.6822574,100.4920115,go
70,8,บิ้กซีบางปะกอก(คาร์ฟูล),13.68249,100.492,back
70,9,ตลาดบางปะกอก,13.6771997,100.4999026,back
70,10,ลานไม้,13.6526388,100.4969398,back
70,11,หน้าม.,13.6512612,100.4967541,back
70,12,มจธ,13.6495009,100.4918559,back
70,13,สวนธน,13.6510731,100.4873963,back
70,14,วัดพุทธบูชา,13.6511747,100.4741398,back
9,1,วัดทุ่งครุ,13.619053,100.5106987,go
9,2,อวท.,13.6382907,100.5010924,go
9,3,Maxvalue ประชาอุทิศ,13.6394965,100.5005615,go
9,4,ตลาด61,13.644399,100.4988666,go
9,5,หน้าม.,13.6507867,100.4965924,go
9,6,ลานไม้,13.6526091,100.4968624,go
9,7,ตลาดบางปะกอก,13.6769382,100.5000253,go
9,8,บิ้กซีบางปะกอก(คาร์ฟูล),13.6822574,100.4920115,go
9,9,บิ้กซีบางปะกอก(คาร์ฟูล),13.68249,100.492,back
9,10,ตลาดบางปะกอก,13.677234,100.499987,back
9,11,ลานไม้,13.6526388,100.4969398,back
9,12,หน้าม.,13.6512612,100.4967541,back
9,13,ตลาด61,13.6444771,100.4988853,back
9,14,Maxvalue ประชาอุทิศ,13.6397225,100.5005243,back
9,15,อวท.,13.6384005,100.5010806,back
9,16,วัดทุ่งครุ,13.6199223,100.5103251,back
11,1,วัดทุ่งครุ,13.619053,100.5106987,go
11,2,อวท.,13.6382907,100.5010924,go
11,3,Maxvalue ประชาอุทิศ,13.6394965,100.5005615,go
11,4,ตลาด61,13.644399,100.4988666,go
11,5,หน้าม.,13.6507867,100.4965924,go
11,6,ลานไม้,13.6526091,100.4968624,go
11,7,วัดประเสริฐสุทธาวาส,13.6804143,100.5033532,go
11,8,บิ๊กซีราษฎร์บูรณะ,13.6826416,100.4999052,go
11,9,บิ๊กซีราษฎร์บูรณะ,13.6825492,100.5004167,back
11,10,วัดประเสริฐสุทธาวาส,13.6803699,100.5033381,back
11,11,ลานไม้,13.6526388,100.4969398,back
11,12,หน้าม.,13.6512612,100.4967541,back
11,13,ตลาด61,13.6444771,100.4988853,back
11,14,Maxvalue ประชาอุทิศ,13.6397225,100.5005243,back
11,15,อวท.,13.6384005,100.5010806,back
11,16,วัดทุ่งครุ,13.6199223,100.5103251,back
2,1,ตลาดบางปะกอก,13.6769382,100.5000253,go
2,2,โพธิ์ทอง,1,1,go
2,3,บางมด,1,2,go
2,4,Central Rama II,2,1,go
2,5,เคหะธน,3,2,go
2,6,เคหะธน,2,3,back
2,7,เซ็นทรัลพระราม 2,5,4,back
2,8,บางมด,6,4,back
2,9,โพธิ์ทอง,3,2,back
2,10,ตลาดบางปะกอก,13.677234,100.499987,back
